ID_Transacao,Data,Descricao,Categoria,Valor,Tipo,Sentimento_Usuario,Hobby_Relacionado,Mecanica_Financeira
001,2025-10-01,Salário,receita,5000.00,entrada,N/A,N/A,N/A
002,2025-10-02,Aluguel,moradia,1200.00,saida,N/A,N/A,Mensalidade (Conta)
003,2025-10-03,Supermercado,alimentacao,450.00,saida,Necessario,N/A,Necessidade
004,2025-10-05,Netflix,lazer,55.90,saida,Satisfeito,N/A,Mensalidade (Assinatura)
005,2025-10-07,Farmácia,saude,89.00,saida,N/A,N/A,N/A
006,2025-10-10,Restaurante,alimentacao,120.00,saida,N/A,N/A,N/A
007,2025-10-12,Uber,transporte,45.00,saida,Neutro,N/A,N/A
008,2025-10-15,Conta de Luz,moradia,180.00,saida,N/A,N/A,Mensalidade (Conta)
009,2025-10-20,Academia,saude,99.00,saida,Satisfeito,N/A,Mensalidade (Assinatura)
010,2025-10-25,Combustível,transporte,250.00,saida,N/A,N/A,N/A
011,2025-10-26,Steam Purchase - Elden Ring,lazer,250.00,saida,Satisfeito,Video-Games,Jogo Base (Compra Unica)
012,2025-10-27,LoL Riot Points,lazer,80.00,saida,Arrependido,Video-Games,Cosmetico/Skin
013,2025-10-28,Upgrade Memoria RAM 16GB,investimento pessoal,320.00,saida,Satisfeito,Video-Games,Hardware/Setup
014,2025-10-29,Assinatura Xbox Game Pass,lazer,50.00,saida,Neutro,Video-Games,Mensalidade (Assinatura)
